Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
TAG,Scrypt,PoW/PoS,,1000000,,,,,
TAK,SHA-256,PoW/PoS,,7515187520,,,,,
TES,Multiple,PoS,80260463.7331396,100000000,-0.23978082135674664,0.12662681163766504,0.15442706303196432,TeslaCoin,0.0
TGC,SHA-256,PoW,43536800.0,47011968,-0.1464079097784302,-1.2894863269491492,0.1943298909050087,TigerCoin,3.0
TIT,PHI1612,PoS,1622326490.46336,2300000000,-0.30390743290944205,1.5909151251374252,-0.14012210982032025,TittieCoin,0.0
TOR,X11,PoW/PoS,1431851.00002479,10000000,-0.4007730763988952,1.2254020310677425,-0.5215088854800811,TorCoin,0.0
TRC,SHA-256,PoW,22935396.0,42000000,-0.14669531738452277,-1.289490379095475,0.1943372859501997,TerraCoin,3.0
TITC,Scrypt,PoW,,1000000,,,,,
ULTC,SHA-256,PoW,0.0,2625000,,,,,
UNB,SHA-256,PoW,2278150.0,80000000,-0.14667813911035776,-1.2895178630804809,0.19434079733582646,UnbreakableCoin,3.0
UNO,SHA-256,PoW,200911.79151896,250000,-0.1472695407920806,-1.2894751350298284,0.1943487328369924,Unobtanium,3.0
URO,X11,PoW,1207310.0,0,-0.2334268360009616,-0.9306242500061208,0.06976114596041066,UroCoin,3.0
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000,-0.3111830093754909,1.0349411612790755,-0.6269800897774063,UnitaryStatus Dollar,0.0
UTC,Scrypt,PoW/PoS,50235211.141939,100000000,-0.33464870527164636,1.0354125254548714,-0.6264906974642837,UltraCoin,0.0
UTIL,X13,PoW/PoS,0.0,0,,,,,
VDO,X11,PoW/PoS,,0,,,,,
VIA,Scrypt,PoW,23150892.1679687,23000000,-0.16810632343013682,-1.1205861245071396,-0.035205538456061496,ViaCoin,3.0
VOOT,X11,PoW,0.0,0,,,,,
VRC,Scrypt,PoST,32021108.4136696,0,-0.2875450828484932,0.28797269181634805,-0.31155551684324223,VeriCoin,0.0
VTC,Lyra2REv2,PoW,51173723.8166347,84000000,-0.19579009739087716,-1.1923353463570598,0.170034785629755,Vertcoin,3.0
WDC,Scrypt,PoW,119606941.0,265420800,-0.16520669169907815,-1.1206863397597258,-0.035260027896215546,WorldCoin,3.0
XAI,X11,PoB/PoS,,0,,,,,
XBOT,Scrypt,PoW/PoS,0.0,2000000,,,,,
XC,X11,PoW/PoS,6950831.0970606,5500000,-0.40073754895753516,1.225406297055844,-0.5215103364586597,X11 Coin,0.0
XCSH,Scrypt,PoW/PoS,,2400000,,,,,
XCR,Multiple,PoS,100000000.0,0,-0.24024925003853548,0.126687743131811,0.15442948606355422,Crypti,0.0
XJO,SHA-256,PoW,39195739.362088,45000000,-0.14647525540666126,-1.289486660482809,0.19433153589011767,JouleCoin,3.0
XLB,X11,PoW/PoS,,16500000,,,,,
XST,X13,PoW/PoS,33093725.4123502,0,-0.27814357599878514,1.816815009374783,-0.6579331470980584,StealthCoin,0.0
XXX,Scrypt,PoW/PoS,0.0,50000000,,,,,
YAC,Scrypt,PoW,,2000000000,,,,,
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000,-0.3270661628067541,1.0349547860936896,-0.6266052866115214,ZCC Coin,0.0
ZED,Scrypt,PoW,,120000000,,,,,
BCN,CryptoNight,PoW,184066828814.0,184467440735,3.861612490972322,-2.325776926063581,0.33034072664605685,ByteCoin,3.0
EKN,X13,PoW/PoS,,3000000,,,,,
XDN,CryptoNight,PoW,6906587610.38292,10000000000,0.4577193745414654,-2.289113536306163,0.4058528193427751,DigitalNote ,3.0
XAU,SHA-256,PoW,,2100000,,,,,
BURST,Shabal256,PoC,1813033920.0,2158812800,0.03228072178735283,0.33695523126933663,-0.3200969843952838,BurstCoin,0.0
SJCX,Counterparty,PoS,51173144.0,500000000,-0.3261672552912076,1.5066603532982095,-0.0422269671804901,StorjCoin,0.0
HUGE,Blake,PoW,,164429865,,,,,
007,Scrypt,PoW,,989800,,,,,
MONA,Scrypt,PoW,68194674.8711679,105120000,-0.16697286844424455,-1.1206160013772615,-0.035228163783564366,MonaCoin,3.0
TEK,SHA-256,PoW/PoS,,100000000,,,,,
NTRN,SHA-256,PoW/PoS,39121694.0,68000000,-0.3137328809928286,0.8665324458011059,-0.3969395744498313,Neutron,0.0
SLING,SHA-256,PoW,0.0,1000000,,,,,
XSI,Scrypt,PoW/PoS,,15000000,,,,,
KTK,Scrypt,PoS,0.0,17000000,,,,,
FAIR,Groestl,PoW/PoS,53193831.0,0,-0.37024873794159024,1.0130410040021813,-0.5080118140449079,FairCoin,0.0
NLG,Scrypt,PoW,415032420.0,1680000000,-0.15155566213761623,-1.1213591311314512,-0.03548789703307936,Gulden,3.0
RBY,Scrypt,PoS,27184490.3918338,0,-0.28590669866469415,0.816703683593079,-0.22988966486121382,RubyCoin,0.0
PTC,Scrypt,PoW,137517654.41397,166386000,-0.165690626017071,-1.1206265355777723,-0.03525707633363091,PesetaCoin,3.0
KORE,X13,PoW/PoS,2022464.886973,12000000,-0.27843823058226186,1.8167982509330993,-0.6579237684065972,Kore,0.0
WBB,Scrypt,PoW,181919.2435974,2628000,-0.16853168736771737,-1.1205825946792707,-0.03519595219745139,Wild Beast Coin,3.0
SSD,SHA-256,PoW/PoS,,0,,,,,
NOTE,Scrypt,PoS,174646113.934655,500000000,-0.280555448445425,0.8164800428468942,-0.22998470746597705,Dnotes,0.0
FLO,Scrypt,PoW,152270664.860648,160000000,-0.1655556052011057,-1.1206182038170671,-0.035261467004519716,Flo,3.0
MMXIV,SHA-256,PoS,0.0,2014,,,,,
8BIT,Scrypt,PoW/PoS,1467841.0,0,-0.3359545778141575,1.0354509097405393,-0.6264651954642168,8BIT Coin,0.0
STV,X13,PoW/PoS,7096834.0,10000000,-0.2783903949352288,1.816801009720537,-0.6579252964270496,Sativa Coin,0.0
AM,X13,PoW/PoS,0.0,12000000,,,,,
NKT,X11,PoW/PoS,,0,,,,,
GHC,Scrypt,PoW/PoS,,750000000,,,,,
ABY,Scrypt,PoW,792537250.0,1000000000,-0.15176711673507431,-1.1208647292145533,-0.035553376516509735,ArtByte,3.0
MTR,X11,PoW/PoS,0.0,10110000,,,,,
BCR,Momentum,PoW,0.0,210000000,,,,,
XPB,CryptoNight,PoW,,0,,,,,
XDQ,Blake,PoW,,2272800,,,,,
FLDC,Stanford Folding,PoW,719416990.0,1000000000,-0.12964690989017266,-2.12461249303357,0.3159989984018846,Folding Coin,3.0
SMAC,X11,PoW/PoS,,0,,,,,
U,X11,PoS,2689812.0,20000000,-0.35095321284554737,1.0066413115242525,-0.12492602240402725,Ucoin,0.0
UIS,Multiple,PoW,65113302.0,0,-0.1229892677686681,-1.8105996994437779,0.34912609321181204,Unitus,3.0
CYP,QuBit,PoW,6365285.0,0,-0.18241401410429586,-1.4914975368046213,0.21952304416522156,CypherPunkCoin,3.0
QBK,X13,PoS/PoB,,0,,,,,
MARYJ,X15,PoW/PoS,0.0,0,,,,,
OMC,Scrypt,PoW,10140044.4430293,3371337,-0.16840468132149786,-1.1205797218634703,-0.035199374386164044,OmniCron,3.0
GIG,X11,PoW,,0,,,,,
CC,Scrypt,PoW/PoS,0.0,0,,,,,
VTR,Scrypt,PoW/PoS,11604722.0,20000000,-0.3356887164524404,1.0354433590715137,-0.6264704250283958,Vtorrent,0.0
METAL,Scrypt,PoW,,0,,,,,
GRE,Scrypt,PoW,4610340640.89,10000000000,-0.04122179791718308,-1.1245073297866477,-0.03765610746272287,GreenCoin,3.0
XG,XG Hash,PoW/PoS,,0,,,,,
CHILD,X11,PoW,,2000000,,,,,
MINE,Scrypt,PoW,,21649485,,,,,
ROS,X11,PoW/PoS,,0,,,,,
UNAT,SHA-256,PoW,0.0,0,,,,,
GAIA,X11,PoS,,24000000,,,,,
XCN,M7 POW,PoW,708506520.0,1840000000,-0.12194915909322906,-2.168763996357708,0.4602994063434075,Cryptonite,3.0
GMC,Scrypt,PoW,0.0,84000000,,,,,
MMC,Multiple,PoW,,10000000,,,,,
CYC,X11,PoW,0.0,33000000,,,,,
MSC,Scrypt,PoW,619478.0,619478,-0.16854059361842877,-1.1205813573345087,-0.03519591737153934,MasterCoin,3.0
EGG,Scrypt,PoW/PoS,,3891,,,,,
CAMC,X11,PoW/PoS,,10000000,,,,,
RBR,Multiple,PoW,,1000000000,,,,,
ICASH,X11,PoW,,1000000,,,,,
NODE,Curve25519,PoA,,1000000000,,,,,
SOON,SHA-256,PoW,12462620.0,21000000,-0.1469723820946181,-1.2894823946297098,0.1943427194023691,SoonCoin,3.0
BTMI,Scrypt,PoW,,4832660000,,,,,
EVENT,Scrypt,PoW/PoS,,0,,,,,
1CR,Scrypt,PoW,88213.0,92000000000,0.4843993988365758,-1.170661170396052,-0.04354283375414791,1Credit,3.0
VIOR,Scrypt,PoW/PoS,0.0,0,,,,,
VMC,Scrypt-n,PoW,,1000000,,,,,
MARSC,X11,PoW,,33000000,,,,,
EQM,SHA-256,PoW/PoS,,0,,,,,
ISL,X11,PoW/PoS,1513704.0,0,-0.40084304873148535,1.2254075014830492,-0.5215080057560693,IslaCoin,0.0
QSLV,X11,PoW,0.0,33000000,,,,,
XNA,X11,PoS,,0,,,,,
SKB,SHA-256,PoS,,0,,,,,
FCS,X11,PoW/PoS,,0,,,,,
NXS,SHA3,PoW/nPoS,63657220.0,78000000,-0.4230022039640883,2.389771613629391,0.24076885495685119,Nexus,0.0
EAGS,X11,PoW/PoS,,20445500,,,,,
MWC,X11,PoW/PoS,,0,,,,,
MARS,X11,PoW,32221574.820996,33000000,-0.23281349999634163,-0.9306320059631937,0.06974770362409012,MarsCoin ,3.0
XMS,X11,PoW/PoS,,0,,,,,
SIGU,Scrypt,PoW/PoS,0.0,0,,,,,
M1,X13,PoW/PoS,,0,,,,,
DB,Scrypt,PoW/PoS,,0,,,,,
CTO,Lyra2RE,PoW,13742738.0,65789100,-0.15432034957361862,-2.273395925500444,0.42722669968865407,Crypto,3.0
BITL,X11,PoW/PoS,,0,,,,,
FUTC,X13,PoW/PoS,,0,,,,,
TAM,Scrypt,PoW/PoS/PoC,,5300000,,,,,
MRP,X11,PoW,,3400000,,,,,
XFC,X11,PoS,,210000000,,,,,
NANAS,Scrypt,PoW/PoS,,0,,,,,
ACP,SHA-256,PoW,14747200.0002,53760000,-0.14671194758108833,-1.2894994755475857,0.19433897744919582,Anarchists Prime,3.0
